product_no,product_url,product_name,category,sub_category,price,fabric,fit_type,size_range,recommended_body_type,body_cover_features,style_tags,season,length_type,sleeve_type,color_options,recommended_age,coordination_items,product_summary,shoulder,chest,chest_measure_type,armhole,sleeve,sleeve_circumference,length,length_front,length_back,measurement_source,raw_measurements
22467,https://www.misharp.co.kr/product/detail.html?product_no=22467,리얼 레더 H 슬리퍼,,,52500,,,,4050 여성 일반체형,,데일리,여름;겨울,기본,,블랙;화이트;브라운,4050,데님,백화점 납품의 고퀄리티! / 3cm통굽,,,,,,,,,,,
28678,https://www.misharp.co.kr/product/detail.html?product_no=28678,타임리스 클래식 슬리밍 시계,,,43800,,슬림핏,,4050 여성 일반체형,허리라인보정,클래식;데일리,,기본,,블랙;브라운,4050,데님,"미샵 - 타임리스 클래식 슬리밍 시계 (2 color) 타임리스 클래식 슬리밍 시계 (2 color) (해외배송 가능상품) ( 건) 타임리스 클래식 슬리밍 시계 (2 color) 43,800원 430원 (1%) 재입고 알림 SMS 상품 옵션 컬러 - [필수] 옵션을 선택해 주세요 - ------------------- 브라운 블랙 옵션선택 상품 목록 상품명 상품수 가격 타임리스 클래식 슬리밍",,,,,,,,,,,
28036,https://www.misharp.co.kr/product/detail.html?product_no=28036,블랙 플라워 쉬폰 머플러,,,15800,,,,4050 여성 일반체형,,페미닌;데일리,,기본,,블랙,4050,데님,"미샵 - 블랙 플라워 쉬폰 머플러 (1 color) 블랙 플라워 쉬폰 머플러 (1 color) (해외배송 가능상품) ( 건) 블랙 플라워 쉬폰 머플러 (1 color) 15,800원 150원 (1%) 재입고 알림 SMS 상품 옵션 옵션선택 상품 목록 상품명 상품수 가격 블랙 플라워 쉬폰 머플러 (1 color) 수량증가 수량감소 15800 ( 150 ) 옵션 정보 바로구매 예약주문 SOLD",,,,,,,,,,,
22325,https://www.misharp.co.kr/product/detail.html?product_no=22325,메쉬 쿠션 블로퍼,,,59800,,,,4050 여성 일반체형,,클래식;데일리,봄;여름;가을,기본,,화이트;브라운,4050,데님,굽 2.3cm + 쿠션 1cm,,,,,,,,,,,
25966,https://www.misharp.co.kr/product/detail.html?product_no=25966,블랙 펄 목걸이,,,12800,,,,4050 여성 일반체형,,데일리,,기본,,블랙,4050,데님,4가지 사이즈,,,,,,,,,,,
28646,https://www.misharp.co.kr/product/detail.html?product_no=28646,클래식 에나멜 투톤 펌프스,,,50800,,,,4050 여성 일반체형,,클래식;페미닌;데일리;오피스룩,,기본,,블랙;화이트;베이지,4050,슬랙스;데님;스커트,【3cm 안정적인 굽높이】,,,,,,,,,,,
27909,https://www.misharp.co.kr/product/detail.html?product_no=27909,라피네 레터링 밴딩 버클 썬캡,,,34500,,,,4050 여성 일반체형,,데일리,,기본,,블랙,4050,데님,머리 눌림 없이 자외선 차단,,,,,,,,,,,
27327,https://www.misharp.co.kr/product/detail.html?product_no=27327,프레시 린넨 스트라이프 머플러,,,16800,,,,4050 여성 일반체형,허리라인보정,데일리,여름,기본,,아이보리;베이지;네이비;소라,4050,데님;스커트,"미샵 - 프레시 린넨 스트라이프 머플러 (6 color) 프레시 린넨 스트라이프 머플러 (6 color) (해외배송 가능상품) ( 건) 프레시 린넨 스트라이프 머플러 (6 color) 16,800원 160원 (1%) 재입고 알림 SMS 상품 옵션 컬러 - [필수] 옵션을 선택해 주세요 - ------------------- 아이보리 소라 베이지 그린 모카 네이비 옵션선택 상품 목록 상품명 상",,,,,,,,,,,
24067,https://www.misharp.co.kr/product/detail.html?product_no=24067,데일리 심플 진주 네크리스,팬츠,데님,12800,,,,4050 여성 일반체형,,데일리,여름;겨울,기본,없음,,4050,데님,5mm의 미니한 진주 / 사계절 내내,,,,,,,,,,,
28648,https://www.misharp.co.kr/product/detail.html?product_no=28648,오브텐 코튼 볼캡,,,19800,코튼100% 소재입니다,,,4050 여성 일반체형,,클래식;데일리,여름,기본,,블랙;베이지;브라운,4050,데님,"미샵 - 오브텐 코튼 볼캡 (4 color) 오브텐 코튼 볼캡 (4 color) (해외배송 가능상품) ( 건) 오브텐 코튼 볼캡 (4 color) 19,800원 190원 (1%) 재입고 알림 SMS 상품 옵션 컬러 - [필수] 옵션을 선택해 주세요 - ------------------- 베이지 블루 브라운 블랙 옵션선택 상품 목록 상품명 상품수 가격 오브텐 코튼 볼캡 (4 color) 수량증",,,,,,,,,,,
